what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1426686976543
started,bundle,org.eclipse.osgi,3.8.1.dist,"org.eclipse.osgi",1426686976546
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.301.dist,"org.eclipse.equinox.simpleconfigurator",1426686976546
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1426686976547
started,bundle,org.apache.felix.gogo.command,0.12.0,"org.apache.felix.gogo.command",1426686976547
started,bundle,org.apache.felix.gogo.runtime,0.10.0,"org.apache.felix.gogo.runtime",1426686976548
started,bundle,org.apache.felix.gogo.shell,0.10.0,"org.apache.felix.gogo.shell",1426686976548
started,bundle,org.eclipse.core.contenttype,3.4.200.dist,"org.eclipse.core.contenttype",1426686976548
started,bundle,org.eclipse.core.databinding.observable,1.4.1.dist,"org.eclipse.core.databinding.observable",1426686976549
started,bundle,org.eclipse.core.expressions,3.4.400.dist,"org.eclipse.core.expressions",1426686976549
started,bundle,org.eclipse.core.filebuffers,3.5.200.dist,"org.eclipse.core.filebuffers",1426686976550
started,bundle,org.eclipse.core.filesystem,1.3.200.dist,"org.eclipse.core.filesystem",1426686976550
started,bundle,org.eclipse.core.jobs,3.5.200.dist,"org.eclipse.core.jobs",1426686976551
started,bundle,org.eclipse.core.net,1.2.200.dist,"org.eclipse.core.net",1426686976551
started,bundle,org.eclipse.core.resources,3.8.1.dist,"org.eclipse.core.resources",1426686976551
started,bundle,org.eclipse.core.runtime,3.8.0.dist,"org.eclipse.core.runtime",1426686976552
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.dist,"org.eclipse.core.runtime.compatibility",1426686976552
started,bundle,org.eclipse.debug.core,3.7.100.dist,"org.eclipse.debug.core",1426686976553
started,bundle,org.eclipse.debug.ui,3.8.1.dist,"org.eclipse.debug.ui",1426686976554
started,bundle,org.eclipse.equinox.app,1.3.100.dist,"org.eclipse.equinox.app",1426686976555
started,bundle,org.eclipse.equinox.common,3.6.100.dist,"org.eclipse.equinox.common",1426686976555
started,bundle,org.eclipse.equinox.console,1.0.0.dist,"org.eclipse.equinox.console",1426686976556
started,bundle,org.eclipse.equinox.ds,1.4.0.dist,"org.eclipse.equinox.ds",1426686976556
started,bundle,org.eclipse.equinox.event,1.2.200.dist,"org.eclipse.equinox.event",1426686976556
started,bundle,org.eclipse.equinox.p2.core,2.2.0.dist,"org.eclipse.equinox.p2.core",1426686976557
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.dist,"org.eclipse.equinox.p2.directorywatcher",1426686976558
started,bundle,org.eclipse.equinox.p2.engine,2.2.0.dist,"org.eclipse.equinox.p2.engine",1426686976558
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.dist,"org.eclipse.equinox.p2.metadata",1426686976558
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.100.dist,"org.eclipse.equinox.p2.metadata.repository",1426686976559
started,bundle,org.eclipse.equinox.p2.operations,2.2.0.dist,"org.eclipse.equinox.p2.operations",1426686976559
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.200.dist,"org.eclipse.equinox.p2.reconciler.dropins",1426686976560
started,bundle,org.eclipse.equinox.p2.repository,2.2.0.dist,"org.eclipse.equinox.p2.repository",1426686976560
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.1.0.dist,"org.eclipse.equinox.p2.ui.sdk.scheduler",1426686976560
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.dist,"org.eclipse.equinox.p2.updatechecker",1426686976561
started,bundle,org.eclipse.equinox.preferences,3.5.0.dist,"org.eclipse.equinox.preferences",1426686976561
started,bundle,org.eclipse.equinox.registry,3.5.200.dist,"org.eclipse.equinox.registry",1426686976562
started,bundle,org.eclipse.equinox.security,1.1.100.dist,"org.eclipse.equinox.security",1426686976562
started,bundle,org.eclipse.equinox.util,1.0.400.dist,"org.eclipse.equinox.util",1426686976562
started,bundle,org.eclipse.help,3.6.0.dist,"org.eclipse.help",1426686976563
started,bundle,org.eclipse.jdt.core,3.8.2.dist,"org.eclipse.jdt.core",1426686976564
started,bundle,org.eclipse.jface,3.8.0.dist,"org.eclipse.jface",1426686976564
started,bundle,org.eclipse.jsch.core,1.1.400.dist,"org.eclipse.jsch.core",1426686976564
started,bundle,org.eclipse.ltk.core.refactoring,3.6.0.dist,"org.eclipse.ltk.core.refactoring",1426686976565
started,bundle,org.eclipse.team.core,3.6.100.dist,"org.eclipse.team.core",1426686976566
started,bundle,org.eclipse.team.ui,3.6.200.dist,"org.eclipse.team.ui",1426686976567
started,bundle,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui",1426686976570
started,bundle,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console",1426686976570
started,bundle,org.eclipse.ui.editors,3.8.0.dist,"org.eclipse.ui.editors",1426686976571
started,bundle,org.eclipse.ui.externaltools,3.2.100.dist,"org.eclipse.ui.externaltools",1426686976572
started,bundle,org.eclipse.ui.forms,3.5.200.dist,"org.eclipse.ui.forms",1426686976572
started,bundle,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.ide",1426686976573
started,bundle,org.eclipse.ui.intro,3.4.200.dist,"org.eclipse.ui.intro",1426686976574
started,bundle,org.eclipse.ui.intro.universal,3.2.600.dist,"org.eclipse.ui.intro.universal",1426686976574
started,bundle,org.eclipse.ui.navigator,3.5.200.dist,"org.eclipse.ui.navigator",1426686976574
started,bundle,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.resources",1426686976575
started,bundle,org.eclipse.ui.net,1.2.101.dist,"org.eclipse.ui.net",1426686976575
started,bundle,org.eclipse.ui.views,3.6.100.dist,"org.eclipse.ui.views",1426686976576
started,bundle,org.eclipse.ui.workbench,3.8.1.dist,"org.eclipse.ui.workbench",1426686976576
started,bundle,org.eclipse.ui.workbench.texteditor,3.8.0.dist,"org.eclipse.ui.workbench.texteditor",1426686976577
started,bundle,org.eclipse.update.configurator,3.3.200.dist,"org.eclipse.update.configurator",1426686976578
started,bundle,org.eclipse.update.core,3.2.600.dist,"org.eclipse.update.core",1426686976578
started,bundle,org.eclipse.update.scheduler,3.2.400.dist,"org.eclipse.update.scheduler",1426686976578
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.dist,"org.eclipse.jdt.core.manipulation",1426686976579
started,bundle,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui",1426686976582
started,bundle,org.eclipse.ui.trace,1.0.1.dist,"org.eclipse.ui.trace",1426686976582
started,bundle,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.adt",1426686976582
started,bundle,com.android.ide.eclipse.base,23.0.4.1468518,"com.android.ide.eclipse.base",1426686976583
started,bundle,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms",1426686976583
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1426686976583
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1426686976584
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1426686976584
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1426686976584
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1426686976585
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1426686976586
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1426686976586
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1426686976586
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1426686976587
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1426686976588
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1426686976588
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1426686976590
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1426686976590
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1426686976591
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1426686976592
started,bundle,org.eclipse.egit.core,3.5.1.201410131835-r,"org.eclipse.egit.core",1426686976594
started,bundle,org.eclipse.egit.ui,3.5.1.201410131835-r,"org.eclipse.egit.ui",1426686976596
started,bundle,org.eclipse.jgit,3.5.1.201410131835-r,"org.eclipse.jgit",1426686976596
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1426686976597
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1426686976598
started,bundle,com.objectaid.uml,1.1.7,"com.objectaid.uml",1426686976598
os,sysinfo,,,"linux",1426686976602
arch,sysinfo,,,"x86_64",1426686976603
ws,sysinfo,,,"gtk",1426686976603
locale,sysinfo,,,"en_IE",1426686976603
processors,sysinfo,,,"4",1426686976603
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426686976603
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1426686976603
java.specification.name,sysinfo,,,"Java Platform API Specification",1426686976603
java.specification.vendor,sysinfo,,,"Oracle Corporation",1426686976603
java.specification.version,sysinfo,,,"1.8",1426686976603
java.vendor,sysinfo,,,"Oracle Corporation",1426686976603
java.version,sysinfo,,,"1.8.0_31",1426686976603
java.vm.info,sysinfo,,,"mixed mode",1426686976603
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1426686976603
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426686976603
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1426686976603
java.vm.specification.version,sysinfo,,,"1.8",1426686976603
java.vm.vendor,sysinfo,,,"Oracle Corporation",1426686976603
java.vm.version,sysinfo,,,"25.31-b07",1426686976603
activated,view,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui.internal.introview",1426686977659
closed,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1426686977663
activated,view,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.ProjectExplorer",1426686978420
activated,view,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.ProjectExplorer",1426686978444
closed,view,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui.internal.introview",1426686978462
started,bundle,com.android.ide.eclipse.traceview,23.0.4.1468518,"com.android.ide.eclipse.traceview",1426686978464
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1426686997987
started,bundle,org.eclipse.jdt.launching,3.6.100.dist,"org.eclipse.jdt.launching",1426687002183
started,bundle,com.objectaid.uml.cls,1.1.7,"com.objectaid.uml.cls",1426687007984
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1426687007994
started,bundle,com.objectaid.uml.seq,1.1.7,"com.objectaid.uml.seq",1426687008011
started,bundle,sf.eclipse.javacc,1.5.27,"sf.eclipse.javacc",1426687008350
started,bundle,org.eclipse.pde.launching,3.6.100.dist,"org.eclipse.pde.launching",1426687014532
started,bundle,org.eclipse.ui.views.log,1.0.300.dist,"org.eclipse.ui.views.log",1426687014536
started,bundle,org.eclipse.pde.ui,3.7.1.dist,"org.eclipse.pde.ui",1426687014540
opened,view,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui.PackageExplorer",1426687014584
opened,view,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.views.ProblemView",1426687014638
